upperdistrict,name,population2015,population2014,population2013,population2012,population2011,crimebook2015,crimebook2014,crimebook2013,crimebook2012,crimebook2011,crimes2015,crimes2014,crimes2013,crimes2012,crimes2011,economiccrimes2015,economiccrimes2014,economiccrimes2013,economiccrimes2012,economiccrimes2011,gravecrimes2015,gravecrimes2014,gravecrimes2013,gravecrimes2012,gravecrimes2011,murders2015,murders2014,murders2013,murders2012,murders2011,healthdamage2015,healthdamage2014,healthdamage2013,healthdamage2012,healthdamage2011,robbing2015,robbing2014,robbing2013,robbing2012,robbing2011,banditry2015,banditry2014,banditry2013,banditry2012,banditry2011,thefts2015,thefts2014,thefts2013,thefts2012,thefts2011,burglary2015,burglary2014,burglary2013,burglary2012,burglary2011,carthefts2015,carthefts2014,carthefts2013,carthefts2012,carthefts2011,fraud2015,fraud2014,fraud2013,fraud2012,fraud2011,hijacking2015,hijacking2014,hijacking2013,hijacking2012,hijacking2011,drugs2015,drugs2014,drugs2013,drugs2012,drugs2011,publicplaces2015,publicplaces2014,publicplaces2013,publicplaces2012,publicplaces2011,street2015,street2014,street2013,street2012,street2011,sources
ВАО,Ивановское,127 294,126 794,126 718,125 976,125 732,,,,19722,,1413,1404,1351,1300,1254,,,,36,,258,333,409,344,361,3,4,7,4,8,9,5,16,9,16,58,60,86,97,109,9,11,15,18,15,774,762,763,806,729,70,59,69,60,88,71,83,108,104,128,107,146,106,66,69,,,,,,171,147,160,132,91,930,862,644,508,241,606,625,561,383,122,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/Ivanovskoye
ВАО,Измайлово,105 957,105 434,105 097,104 571,104 106,,,27772,24596,,1503,1789,1577,1782,1874,30,54,,,,371,443,,,,,8,6,9,9,,,21,17,16,,103,176,178,262,,29,26,41,35,888,1004,865,1048,1042,43,47,,,,40,70,,,,,,108,86,70,,,,,,329,406,171,117,,,966,,,,,,680,695,785,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/Izmaylovo
ВАО,Косино-Ухтомский,80 543,79 429,77 629,75 218,73 074,,,12378,12225,12196,1131,953,808,898,839,,,,,,201,205,228,243,273,3,2,4,2,3,6,5,5,13,,31,27,41,40,44,6,5,10,6,7,669,581,503,654,563,36,26,32,60,63,53,92,92,115,153,85,68,48,50,29,18,18,,25,34,88,71,99,38,53,670,636,,,,499,548,437,605,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/Kosino-Ukhtomsky
ВАО,Метрогородок,37 785,37 042,36 993,36 904,36 526,11601,11766,8398,7613,,620,458,468,383,288,,,,42,,143,142,180,125,,2,1,0,2,,3,4,3,6,,26,25,20,23,,12,5,14,16,,281,218,184,196,,8,13,9,33,,16,11,10,14,,33,30,2,2,,,,6,7,,87,80,112,52,,384,306,192,225,,297,240,157,187,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/Metrogorodok
ВАО,Новогиреево,97 306,96 627,96 513,95 862,95 169,27475,26114,19041,,,1666,1769,1480,1481,1633,,,,,,444,630,356,352,,2,3,5,2,,3,6,5,10,9,54,79,109,148,164,13,15,19,14,21,,771,802,885,,26,61,34,61,,55,72,104,148,116,148,221,192,138,101,,,,,,224,328,150,89,108,,996,706,986,1010,,730,531,781,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/Novogireyevo
ВАО,Новокосино,106 847,106 388,106 056,105 206,104 418,17564,15809,13121,14074,,1065,1019,1016,1075,,,,,,,,326,277,294,308,,10,2,1,,,10,6,8,2,31,48,65,74,62,5,8,3,6,4,540,532,560,678,620,7,15,23,28,29,66,105,94,140,166,77,81,77,40,51,12,11,20,29,35,215,195,146,119,122,,703,599,800,785,414,530,500,663,647,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/Novokosino
ВАО,Перово,140 923,140 762,140 669,140 098,139 942,35184,35191,32076,30502,,1985,1905,1848,2029,1755,,,,100,,463,515,431,491,,,,5,11,9,16,14,7,13,,97,114,136,155,,18,16,14,26,22,,1070,1030,1160,1055,54,70,73,94,74,71,98,100,129,,,,229,230,153,,,23,26,,,81,177,121,95,1310,1105,520,894,916,727,856,501,516,448,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/Perovo
ВАО,Преображенское,88 266,87 328,86 567,85 534,84 127,,,21391,18662,,1606,1719,1698,1404,,,,,,,417,597,853,395,424,5,3,1,5,4,,,6,3,13,,94,90,122,131,22,17,27,34,,840,836,634,809,820,48,31,52,84,82,45,71,70,81,88,,232,135,146,,10,7,3,13,10,,271,238,125,118,982,1164,743,954,1004,568,846,570,596,467,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/Preobrazhenskoye
ВАО,Северное Измайлово,87 193,86 947,86 893,86 171,85 741,23900,24276,21881,21861,,1704,1814,1773,2112,2076,,,,,,392,450,449,538,526,3,5,7,5,11,10,13,16,23,18,105,117,174,261,242,24,38,31,61,89,1008,1000,1084,1318,1255,63,64,78,95,131,62,92,71,120,69,112,150,121,107,98,,19,7,23,,179,170,175,122,,1228,1280,1112,1514,1111,752,964,840,1026,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/SevernoyeIzmaylovo
ВАО,Соколиная гора,89 849,89 568,88 943,88 064,87 132,,,29259,27265,23314,1967,1949,1540,1508,1732,,,,,,505,525,461,366,429,,2,1,2,4,16,4,10,15,,85,82,107,105,115,21,35,26,17,24,1153,1089,933,1025,1085,54,67,55,81,111,55,71,78,122,,,222,134,142,194,,,,6,20,272,234,161,81,,1353,1464,989,1161,,775,990,754,743,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/SokolinayaGora
ВАО,Сокольники,60 723,59 958,59 583,58 621,58 211,19180,17809,,,,1398,1387,1226,1208,1183,,,,,,308,345,531,564,352,,,2,2,1,,,8,3,6,65,68,66,81,106,11,12,17,29,34,885,820,708,813,697,39,39,54,55,64,39,63,45,75,64,,,163,95,118,13,6,3,7,7,125,118,88,64,43,990,942,621,810,863,608,600,389,517,553,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/Sokolniki
ВАО,ТГК Измайлово,,,,,,,,,,,,52,35,49,,,,,,,,,14,4,,,0,0,,,,0,0,,,,5,6,7,,,,,,,,28,19,18,,,,,,,,,2,,,,,,,,,1,,,,,1,3,14,,,280,,,,,,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/TGKIzmaylovo
ЮВАО,Выхино,133 053,132 093,131 650,131 252,130 999,31148,28831,30368,26500,,2315,2017,2142,2318,2286,,,,,,512,519,817,1083,,,0,1,,,,,,,,152,110,139,241,192,19,11,24,41,39,1236,1030,,,,57,55,67,88,97,108,99,117,146,142,175,244,224,,,,13,28,41,24,154,237,174,84,56,1590,1206,1200,1521,1218,1070,963,945,1209,743,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO/Vykhino
ЮВАО,Жулебино,91 119,90 461,90 157,89 885,89 712,20393,17448,13301,11457,10397,1055,959,836,1114,1095,,,,,,285,280,215,299,,,,,,,,,,,,78,49,45,105,94,14,9,8,13,,529,441,443,623,,22,22,22,37,36,47,76,62,97,116,115,100,,,,,,,,,120,126,,46,57,746,524,455,763,,390,368,340,516,567,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO/Zhulebino
ЮВАО,Нижегородский,45 106,44 781,44 738,44 521,44 207,,,10179,9160,,1206,1065,935,762,774,,,,,,,228,228,193,196,,,,3,2,5,6,7,5,8,49,42,37,32,47,8,8,8,6,5,735,641,559,497,494,30,26,24,30,18,,,47,40,45,,,,,,,,8,8,5,,,,36,20,,660,551,567,583,,,315,290,299,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO/Nizhegorodsky
ЮВАО,Рязанский,108 262,107 370,106 824,105 133,102 873,28764,23854,20130,17758,18512,1942,1827,1670,1519,1674,,,,,,434,472,483,410,488,,0,5,2,,11,12,14,18,13,142,124,158,,,24,15,30,,,,972,890,,,36,53,68,,,79,107,113,96,120,237,271,,,,13,9,13,,,126,196,141,,,,,,,,,,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO/Ryazansky
ЮВАО,Марьино,252 437,106 656,106 452,105 988,105 551,,23956,21763,19512,,4513,1545,1288,1296,1505,,,,,,,,350,301,403,8,0,,2,7,,,,,,204,88,93,127,104,31,18,21,17,24,2814,,,777,788,,14,28,55,41,,65,68,73,77,,,,,,,,7,17,21,,197,124,47,34,,885,733,837,813,1605,648,553,529,461,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO/Maryino
ЮВАО,Марьинский парк,,144 866,144 590,143 959,143 366,,33373,28991,30014,,,1919,1979,2172,2096,,,,,,,,,484,427,,4,2,3,4,,,2,13,14,,78,100,136,130,,16,29,26,51,,,,1519,1498,,20,22,60,52,,73,87,125,160,,,270,239,171,,,10,14,17,,,125,74,,,1235,1310,1789,1685,,681,665,954,777,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO/MaryinskyPark
ЮВАО,Капотня,32 287,31 941,31 809,31 718,31 423,9535,9110,6516,5911,5268,572,550,506,419,445,,,,,,115,149,149,149,156,2,0,,,,7,5,4,6,,33,32,25,17,42,8,11,12,,,,,229,197,176,7,6,7,13,,11,17,8,18,,37,30,52,,,,,,,,63,97,91,78,41,401,333,323,287,325,196,199,204,191,211,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO/Kapotnya
ЮВАО,Кузьминки,145 167,144 397,144 329,143 819,143 269,43800,39493,36085,33837,,2492,2369,2236,2517,,,,,,,,,,,,2,5,7,,,15,25,27,,,147,197,356,345,,49,49,49,61,,1385,1263,1235,,,80,59,94,104,,84,91,124,136,,276,,,,,,,,,,362,264,163,49,,1701,1455,1477,,,908,1045,,1269,1232,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO/Kuzminki
ЮВАО,Лефортово,93 257,92 417,92 064,91 638,90 936,30094,25863,22242,17491,,2044,1989,1642,1613,1598,,,,,,536,529,421,383,422,,,4,,,,,12,13,,65,78,101,101,91,,15,11,24,23,1219,1150,1009,1100,1001,25,44,46,44,58,,69,78,99,80,278,255,212,,,,,10,10,12,,231,152,54,48,1551,1198,,,,630,632,,676,595,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO/Lefortovo
ЮВАО,Люблино,171 548,170 143,169 832,169 117,167 484,50833,42460,37131,36030,34109,3079,2334,2172,2319,2086,,,,,122,898,752,658,636,596,,8,6,8,11,26,23,14,37,30,194,156,208,233,163,67,51,60,51,42,,,,1172,1031,,58,71,70,98,,,83,150,172,332,204,118,,,,,3,20,57,466,371,238,144,77,2242,1511,1391,1637,1322,1383,1155,1194,1344,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO/Lyublino
ЮВАО,Некрасовка,43 619,35 933,27 738,21 324,20 074,12396,9545,5547,3288,2473,366,308,253,241,124,,,,,,167,97,85,77,,1,2,0,,,,6,2,,,27,30,13,8,8,7,4,3,0,1,,149,122,175,71,16,8,17,27,10,31,26,24,25,13,15,15,19,,,,7,3,,,111,47,32,18,,179,174,105,121,75,120,142,98,110,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO/Nekrasovka
ЮВАО,Печатники,86 343,85 841,85 617,84 917,84 019,26463,21118,17728,17541,18860,1384,1104,1104,1237,1184,,,,,,,,,377,327,,,,1,6,7,18,,16,19,,71,85,108,87,12,13,9,26,21,772,574,516,698,632,23,58,39,45,69,47,66,54,72,50,215,137,,,,,9,11,,,,,,30,38,1039,586,434,684,,,,333,539,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO/Pechatniki
ЮВАО,Текстильщики,104 516,103 782,103 552,102 935,102 451,28268,23762,20171,17884,18882,1281,1131,1049,1181,1235,,,,35,22,,,341,350,337,,,,,,,,,,,85,69,96,,,14,21,15,29,,,,643,445,,37,49,38,,,,,89,70,,,,166,75,,,,,,,106,167,138,82,,921,595,507,806,,573,470,430,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO/Tekstilshchiki
ЮВАО,Южнопортовый,73 954,73 178,72 951,72 489,72 284,26099,20799,17839,17033,,1130,1194,943,966,914,,,,,,,,,273,258,,,,2,3,,,,1,2,37,70,81,68,90,17,23,14,,,678,630,484,591,,49,61,44,53,43,41,84,70,75,68,,,,,,,,,4,9,,,35,13,19,,,524,713,,,,407,480,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthEasternAO/Yuzhnoportovy
ЮАО,Бирюлёво Восточное,151 946,149 281,148 764,146 187,145 934,,27973,25890,23716,,1765,1531,1352,1670,1624,,,,,,,474,397,526,461,5,,,6,3,13,13,20,26,27,132,116,131,168,149,29,36,28,64,46,,873,689,953,859,34,28,33,76,59,121,110,112,125,101,125,112,147,77,96,0,1,,25,15,245,214,102,136,117,1037,919,842,1158,,820,842,717,912,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/BiryulyovoVostochnoye
ЮАО,Бирюлёво Западное,88 257,87 895,87 764,87 348,86 794,19040,18222,16236,15441,,1198,1002,935,1031,1057,,,,,,341,285,304,364,316,4,5,2,4,16,12,18,21,27,25,66,46,81,92,89,11,24,25,33,,532,429,370,,,39,17,11,21,44,63,63,86,83,64,,,,,,,,,14,,138,91,141,190,,681,609,565,,,453,507,476,601,525,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/BiryulyovoZapadnoye
ЮАО,Братеево,107 965,106 467,105 617,104 511,103 489,22478,20904,,15080,14282,1465,1076,987,1093,1144,,,,,,445,271,244,305,255,2,1,4,3,4,8,13,2,11,6,53,38,64,52,48,10,15,22,13,11,770,615,601,710,,11,23,46,72,62,34,55,53,67,66,94,115,85,58,10,13,11,9,23,,186,134,99,118,69,830,653,579,746,777,427,394,383,532,550,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/Brateyevo
ЮАО,Даниловский,93 239,92 897,92 689,92 148,91 783,38049,30768,27087,24295,,3003,2543,2928,3011,2487,,,,,,876,663,924,813,617,3,3,5,1,2,10,9,8,14,20,131,131,172,189,142,49,30,54,41,31,1517,1382,1565,1821,1503,58,72,82,88,92,75,97,106,122,108,609,292,,,,7,21,25,23,,187,175,127,133,112,,,,,,923,990,1120,1137,545,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/Danilovsky
ЮАО,Донской,51 643,51 461,51 308,50 079,48 817,17540,15570,13356,12687,,1552,1309,1538,1557,1493,,,,,,243,262,303,306,,2,3,2,,,2,6,5,9,,42,55,63,77,,19,18,27,30,,1090,912,1041,1170,,21,28,38,46,,33,34,62,53,,136,101,192,,,,,,15,,92,80,53,57,,1148,1008,1018,1331,,,,492,673,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/Donskoy
ЮАО,Зябликово,132 899,132 348,132 251,131 637,131 297,,19994,17760,17140,,1555,1467,1305,1425,1515,,,,,,288,393,329,396,462,0,4,3,5,,9,13,10,14,8,60,58,92,97,97,13,16,30,37,36,868,753,741,,,31,34,54,86,94,48,56,62,72,83,214,132,,,,,11,,11,,206,164,117,,,1016,864,660,869,,599,558,420,567,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/Zyablikovo
ЮАО,Москворечье-Сабурово,80 231,79 324,78 865,77 982,76 764,,15142,11387,9800,,1367,1174,1032,1074,885,,,,,,383,314,268,278,,,2,1,,,,8,7,4,,67,42,70,70,,17,20,20,21,,744,705,595,703,,33,36,47,51,35,54,66,65,93,,173,126,,,,,,,14,,,91,54,55,,,776,593,803,,,566,509,595,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/Moskvorechye-Saburovo
ЮАО,Нагатино-Садовники,81 400,79 416,78 432,77 263,76 907,21689,21024,17482,15380,14450,2194,2263,2246,2296,2153,,,,,,,667,769,803,832,,3,1,3,2,5,15,6,7,12,76,94,116,140,139,20,22,32,38,22,1167,1249,1168,1159,921,,51,82,73,61,,73,111,94,73,,,,,,,,,25,,,315,387,416,98,1287,1349,1281,1497,1066,1003,1281,914,1005,737,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/Nagatino-Sadovniki
ЮАО,Нагатинский Затон,119 053,118 328,117 898,116 957,116 193,23673,23854,,,,1607,1516,1532,1492,1312,,,,,,363,374,406,693,379,2,3,4,2,,,10,14,11,,52,55,85,95,,11,22,21,12,,861,817,876,857,,38,78,81,65,,,57,90,110,,204,182,127,114,,,,27,32,,187,126,144,102,,962,884,966,1025,,,,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/NagatinskyZaton
ЮАО,Нагорный,80 707,80 262,79 548,79 064,78 407,19357,18924,16645,15292,14018,1243,1462,1485,1889,1496,,,,,,330,347,377,722,384,1,3,3,1,12,10,16,10,12,11,58,72,97,132,114,26,34,32,44,27,655,801,741,900,,24,41,51,66,81,63,57,90,84,,117,196,156,269,,9,10,9,8,,152,134,139,,,770,912,850,,,463,659,677,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/Nagorny
ЮАО,Орехово-Борисово Северное,131 982,131 409,131 393,130 784,130 226,24422,20875,19352,,,1754,1136,1177,1406,1507,,,,,,,351,401,455,416,3,4,4,4,4,3,14,13,13,13,80,73,77,124,126,9,22,30,43,26,831,647,614,738,851,44,53,42,72,74,70,66,95,84,95,425,98,152,144,154,,64,15,7,9,,124,139,136,99,946,763,762,952,1067,580,514,581,655,730,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/Orekhovo-BorisovoSevernoye
ЮАО,Орехово-Борисово Южное,147 867,147 498,147 421,146 873,146 591,,,,,,1772,1643,1632,1866,,,,,,,476,544,433,528,,2,4,,,,16,14,5,16,,62,90,110,127,,13,21,37,67,,920,807,914,993,,34,35,58,88,,71,81,90,101,,278,234,,,,,,,15,,252,229,173,146,,1051,1065,1106,1221,,696,779,863,926,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/Orekhovo-BorisovoYuzhnoye
ЮАО,Царицыно,128 404,127 911,127 348,126 698,126 305,28589,25296,,22494,21674,1906,1576,1351,1863,1773,,,,,,603,478,447,521,491,2,,,,,11,11,16,28,,131,107,117,148,,28,30,36,50,,986,891,733,1062,,69,75,84,113,,56,41,63,82,,236,157,138,213,,,,,13,,293,211,154,169,,1130,948,774,,,838,808,651,1001,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/Tsaritsyno
ЮАО,Чертаново Северное,114 315,113 821,113 504,112 799,112 514,21520,19788,,,,1313,1468,1557,1774,1484,,,,168,24,250,374,339,538,349,1,0,1,4,2,9,4,7,12,8,52,62,102,137,125,14,20,18,34,24,532,810,864,942,823,47,35,40,41,68,57,77,92,108,76,145,167,152,322,155,5,6,,15,14,90,169,122,101,68,886,914,989,1271,1074,468,601,671,866,702,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/ChertanovoSevernoye
ЮАО,Чертаново Центральное,116 536,115 518,115 489,114 058,113 204,,,18054,17265,,1893,1714,1366,1576,1679,,,,,,420,455,300,382,,1,2,0,4,,11,12,7,20,,75,64,79,127,111,20,20,38,29,,1007,892,688,791,,55,68,38,47,97,68,70,81,84,,353,270,134,269,,21,17,17,24,,,,98,116,,1192,1020,767,1164,892,604,684,570,713,316,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/ChertanovoTsentralnoye
ЮАО,Чертаново Южное,147 907,146 977,146 322,144 973,144 518,,,23930,22887,22314,1700,1419,1660,1653,1501,,,,21,0,,415,580,584,567,4,7,1,5,9,15,12,16,20,23,89,74,101,102,108,28,19,25,43,18,838,737,701,793,685,34,74,60,63,84,123,94,115,155,108,154,183,139,184,208,17,12,,19,,304,152,207,235,,,,,,,,,,891,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthernAO/ChertanovoYuzhnoye
ЮЗАО,Академический,109 063,108 516,108 274,107 836,107 628,,,,,,2127,1732,1497,1502,1514,,,,,,552,479,423,448,432,,,3,2,2,,,6,13,8,43,68,100,118,110,21,27,36,39,31,831,831,831,944,966,,71,74,93,92,,67,87,127,113,386,386,223,129,122,,,,,,102,,92,74,69,932,1045,948,1046,936,642,851,820,890,712,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Akademichesky
ЮЗАО,Гагаринский,78 973,78 407,78 391,77 894,77 379,,,14000,,,1091,1104,1201,1347,1319,,32,,,,239,307,307,410,390,1,0,3,1,1,5,4,2,4,3,49,61,92,109,118,22,17,32,32,18,,616,755,930,907,25,38,62,102,106,52,64,66,117,97,109,124,104,87,100,,,0,3,2,,,103,50,56,805,692,796,987,946,489,524,645,788,640,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Gagarinsky
ЮЗАО,Зюзино,126 296,125 052,124 978,124 317,124 093,,,,,,1423,1511,1519,1613,1570,,,16,110,,414,549,495,429,350,,,5,9,5,,,8,9,9,63,84,109,146,152,14,11,30,30,12,756,752,939,981,810,51,71,68,71,85,55,71,127,124,,154,215,149,112,126,,,22,21,31,148,292,204,118,83,,851,805,1034,892,,688,650,913,695,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Zyuzino
ЮЗАО,Коньково,156 148,155 667,155 468,154 820,154 297,,23000,,,,2179,2194,1873,2079,1951,,,,,,,571,513,469,509,3,4,2,2,2,,9,14,10,13,,90,106,150,132,24,32,18,31,25,1208,1183,1105,,,80,74,69,82,114,123,127,126,123,121,293,348,,,,,,,,,193,236,217,100,117,,,1031,1359,1321,,,827,1195,943,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Konkovo
ЮЗАО,Котловка,65 831,65 584,65 537,65 283,64 826,15306,15552,13168,12335,12434,965,971,965,1109,915,,10,14,2,,236,229,237,326,201,,1,3,1,,3,10,4,13,11,35,37,51,49,49,6,9,13,12,14,582,553,551,650,561,24,44,59,33,45,38,38,59,63,44,116,121,96,163,83,2,7,10,13,27,108,93,75,72,38,606,636,616,720,643,300,384,431,483,411,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Kotlovka
ЮЗАО,Ломоносовский,87 573,87 065,86 694,85 924,84 986,14126,,,,,1000,1010,903,962,948,,11,,,,197,242,276,273,291,,,0,2,5,2,4,2,8,3,30,57,54,74,61,6,10,10,17,12,587,583,502,558,557,29,54,64,80,87,56,48,90,83,96,70,95,48,98,33,,,1,10,24,66,73,73,52,51,634,602,538,647,,396,470,458,545,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Lomonosovsky
ЮЗАО,Обручевский,84 122,83 469,82 748,81 679,79 623,16663,14426,13548,12610,,1330,1363,1155,1087,1114,,,,,,256,316,310,286,281,2,7,3,1,6,,,8,,,60,45,46,64,62,9,13,17,17,23,,766,709,724,704,10,39,37,46,58,81,86,116,113,106,159,175,119,98,70,,,,11,31,65,107,97,55,44,889,880,784,820,789,533,628,629,623,639,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Obruchevsky
ЮЗАО,Северное Бутово,94 787,93 911,93 226,91 942,91 036,21199,19078,14779,12707,,1079,1122,1208,1128,1169,,,21,11,,,199,222,255,426,,3,3,3,0,2,4,2,6,13,34,59,66,75,73,5,9,22,20,8,,521,578,623,504,,15,37,37,24,,49,74,95,116,,128,210,139,152,,6,20,16,20,,98,65,74,,,615,654,704,652,,437,486,578,488,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/SevernoyeButovo
ЮЗАО,Тёплый Стан,133 857,133 069,132 987,132 379,131 368,18530,18682,14319,15250,,1152,1213,1029,1520,1491,,,,,,295,374,340,411,,,,5,2,7,,,3,9,10,,66,76,108,117,,13,18,27,37,,575,481,812,716,,28,29,57,72,66,79,69,82,58,,138,95,145,133,,,,,,121,203,179,151,105,747,755,573,1016,,,,498,935,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/TyoplyStan
ЮЗАО,Черёмушки,107 542,106 587,105 883,104 672,103 517,,19385,,,,1508,2021,1456,1589,,,,,,,,465,405,390,,4,2,3,,,11,5,11,,,44,52,63,104,,13,14,22,23,,825,962,863,1080,,54,49,55,,,74,87,106,,,178,319,143,138,,6,8,14,,,148,191,149,117,,,1167,858,1098,,,901,648,903,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Cheryomushki
ЮЗАО,Южное Бутово,204 226,200 169,196 209,191 531,179 306,48286,50198,40678,35565,,1628,1549,1379,1357,,,44,84,8,,407,405,413,389,,5,3,10,6,,10,17,20,15,,49,50,72,67,,,7,14,34,,992,899,743,760,,25,22,31,,,137,134,136,172,,120,142,65,83,,6,15,21,23,,,221,116,101,,1132,803,662,776,,587,648,539,655,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/YuzhnoyeButovo
ЮЗАО,Ясенево,177 809,177 014,176 936,176 448,176 109,25504,25253,23729,,,1966,1997,1684,2001,,,,73,84,,562,543,476,509,,4,6,7,,,13,22,18,24,,88,99,112,115,,22,24,24,21,,867,911,831,1172,,49,39,26,59,,79,77,91,116,,241,328,136,,,,,,,,205,315,174,,,1162,1295,1101,1380,,707,872,758,1033,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/Yasenevo
ЮЗАО,РУДН,,,,,,,1159,832,770,,,86,83,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,56,63,,,39,32,39,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/SouthWesternAO/RUDN
ЗАО,Внуково,24 453,24 023,23 518,23 007,21 921,6141,4675,2933,,,329,282,228,193,,,,,,,93,107,90,61,,,,,,,,,,,,10,7,8,7,,3,4,4,3,,127,97,91,67,,7,12,11,20,,8,18,15,4,,21,20,8,,,,,,,,48,69,42,25,,186,107,102,71,,128,90,90,67,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/Vnukovo
ЗАО,Дорогомилово,71 964,71 109,70 862,69 714,68 215,26235,19050,15765,14439,,1709,1561,1592,1562,,,,,,,465,538,520,,,6,2,3,,,9,6,10,,,104,84,89,143,,20,17,24,25,,931,746,801,900,,25,36,28,43,,45,65,61,77,,274,304,,,,1,2,,,,95,132,,,,1252,897,792,914,,679,559,582,616,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/Dorogomilovo
ЗАО,Крылатское,82 046,81 051,80 797,80 131,79 823,16553,,,,,895,716,708,890,894,,,,,,234,208,256,385,260,1,0,,3,0,7,1,4,3,2,30,26,30,27,45,9,5,7,4,8,503,404,337,446,620,15,13,17,25,37,35,,49,72,91,161,98,124,154,72,,0,2,1,2,58,81,,77,49,623,465,444,560,527,328,296,322,329,358,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/WesternAO/Krylatskoye
