upperdistrict,name,population2015,population2014,population2013,population2012,population2011,crimebook2015,crimebook2014,crimebook2013,crimebook2012,crimebook2011,crimes2015,crimes2014,crimes2013,crimes2012,crimes2011,economiccrimes2015,economiccrimes2014,economiccrimes2013,economiccrimes2012,economiccrimes2011,gravecrimes2015,gravecrimes2014,gravecrimes2013,gravecrimes2012,gravecrimes2011,murders2015,murders2014,murders2013,murders2012,murders2011,healthdamage2015,healthdamage2014,healthdamage2013,healthdamage2012,healthdamage2011,robbing2015,robbing2014,robbing2013,robbing2012,robbing2011,banditry2015,banditry2014,banditry2013,banditry2012,banditry2011,thefts2015,thefts2014,thefts2013,thefts2012,thefts2011,burglary2015,burglary2014,burglary2013,burglary2012,burglary2011,carthefts2015,carthefts2014,carthefts2013,carthefts2012,carthefts2011,fraud2015,fraud2014,fraud2013,fraud2012,fraud2011,hijacking2015,hijacking2014,hijacking2013,hijacking2012,hijacking2011,drugs2015,drugs2014,drugs2013,drugs2012,drugs2011,publicplaces2015,publicplaces2014,publicplaces2013,publicplaces2012,publicplaces2011,street2015,street2014,street2013,street2012,street2011,sources
САО,Западное Дегунино,81 492,81 138,80 846,80 246,79 806,,,15067,,,1265,1230,1191,1210,1292,11,13,,,,266,326,269,,,2,3,4,3,,10,6,10,10,,42,44,41,44,,9,6,9,6,,720,584,576,657,,10,24,18,23,,48,48,41,54,,,,,,,15,17,13,18,,,,,,,690,595,545,550,,399,422,414,468,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthernAO/ZapadnoyeDegunino
САО,Коптево,101 036,100 642,100 232,99 521,98 123,,,,,,1201,1310,1276,1349,1356,,,,,,,589,438,271,363,1,3,,0,4,11,9,9,12,12,,,62,93,87,,,,9,31,,,706,870,775,38,34,71,48,67,74,87,89,69,94,,,,82,81,4,11,11,21,,115,164,141,72,,,,586,772,,,,457,650,,"https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthernAO/Koptevo, https://sao.mos.ru/news/news/detail/1608764.html"
САО,Левобережный,53 154,53 015,52 987,52 803,52 732,16943,16579,,,,1456,1383,1364,1194,1058,,,,,,290,292,443,300,,,,3,0,,,,5,9,,70,65,69,102,,10,13,11,16,,862,791,654,748,,16,25,17,33,,53,58,79,69,,183,169,,,,,,,,,,109,56,53,,,,478,598,,,,401,499,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthernAO/Levoberezhny
САО,Молжаниновский,5 823,5 206,3 794,3 607,3 586,2518,1786,,1223,1295,219,214,188,144,154,,,,0,,39,54,27,24,38,,1,1,2,2,,,1,1,2,6,6,8,10,4,,2,0,1,4,61,72,39,31,52,,12,5,4,11,10,7,3,5,3,10,6,1,5,,,2,1,,,,20,6,5,12,150,82,56,47,52,72,70,52,45,50,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthernAO/Molzhaninovsky
САО,Савеловский,59 327,59 004,58 949,58 714,58 623,,,,,,1148,997,972,1251,932,43,25,68,272,,253,280,215,274,266,3,3,1,3,,0,3,0,3,1,44,53,67,62,49,13,13,10,19,13,698,553,540,609,595,40,25,41,53,41,60,51,60,60,64,126,113,71,82,38,2,7,10,19,20,45,125,87,,,736,606,,618,432,436,424,,514,384,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthernAO/Savyolovsky
САО,Сокол,59 112,59 057,58 974,58 309,57 792,,12247,12428,11575,,856,925,1311,1272,1093,18,19,,177,71,201,229,315,398,301,,2,1,1,0,,,3,4,4,21,21,39,58,53,5,7,6,10,7,479,476,677,747,637,26,20,45,34,46,30,28,52,51,43,109,157,200,247,,,,,,,79,122,109,62,34,514,544,613,745,533,297,410,547,621,478,"https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthernAO/Sokol, http://munsokol.ru/munitsipalnoe-sobranie/informatsiya-po-zaslushivaniyam/1396-doklad-vrio-nachalnika-otdela-mvd-rossii-po-rajonu-sokol-g-moskvy-polkovnika-politsii-malyugina-sergeya-vladimirovicha-po-itogam-operativno-sluzhebnoj-deyatelnosti-za-12-mesyatsev-2015-goda-i-zadachakh-na-predstoyashchij-period-2016-goda.html"
САО,Тимирязевский,83 324,83 299,83 243,82 837,82 794,,,,,,2083,1644,1748,1773,,,16,,,,562,462,471,,,,0,,,,,8,11,12,,104,137,141,164,,20,21,19,29,,1157,861,919,1055,,,38,41,60,,,72,97,90,,252,139,,,,6,9,20,,,,223,230,,,,,,,,,,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthernAO/Timiryazevsky
САО,Ховрино,85 325,84 384,83 910,83 017,81 711,,15776,15492,15134,16981,985,1247,1329,1270,1335,23,43,,,,235,278,270,256,275,0,1,,,,3,,5,5,7,36,,45,55,71,6,13,8,12,4,533,756,778,795,809,,42,31,41,68,,69,64,90,85,103,80,85,134,86,11,13,21,24,,76,82,88,77,58,606,671,698,713,73,407,509,618,686,65,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthernAO/Khovrino
САО,Хорошевский,67 448,65 227,63 495,61 528,57 773,26075,,,,,1724,1329,1138,1421,,,28,,,,327,353,344,293,,,3,,,,,4,,,,75,81,66,63,,14,17,18,,,,698,621,991,,31,20,33,43,,64,73,85,98,,251,251,,,,,,,,,,57,70,34,,1171,,626,1014,,573,,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthernAO/Khoroshyovsky
СВАО,Алексеевский,80 327,79 762,79 661,79 398,79 034,23185,20483,17567,,,1102,990,844,623,,,,,,,248,242,277,199,,,1,,,,5,7,0,,,62,72,69,45,,,12,15,12,,696,533,362,330,,31,31,38,50,,43,65,55,33,,112,128,89,,,,6,7,,,64,70,44,21,,841,710,462,365,,488,459,313,264,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/Alexeyevsky
